contract_id,summary,termination_clause,confidentiality_clause,liability_clause
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT,"The Servicing Agreement between CURO Receivables Finance II, LLC (Owner) and CURO Management, LLC (Servicer) outlines the Servicer's responsibilities in managing and servicing the Owner's receivables. The Servicer must perform its duties with reasonable care and in compliance with applicable laws, while the Owner is obligated to provide necessary documentation and indemnify the Servicer against certain liabilities, except in cases of the Servicer's misconduct. Notable risks include potential penalties for the Servicer if it fails to meet its obligations, which could lead to termination of the agreement. The Owner can remove the Servicer for defaults or insolvency, and the Servicer must assist in transitioning duties to a successor if terminated. The agreement also limits the Servicer's liability, protecting it from claims arising from good faith actions, while ensuring it remains accountable for breaches of contract or negligence.","(a) This Agreement shall continue in force until the earlier to occur of (i) the Owner no longer owns any Receivables or Participation Interests, and (ii) subject to Section 7(d), the delivery of written notice of termination by the Owner to the Servicer pursuant to Section 7(c), in each case upon which event this Agreement shall automatically terminate unless otherwise agreed in writing between the Servicer and the Owner.",,"(a) Except as provided in Section 13(b), neither the Servicer nor any of the directors, officers, partners, members, managers, employees, or agents of the Servicer in its capacity as Servicer shall be under any liability to the Owner or any other Person for any action taken or for refraining from the taking of any action in good faith in its capacity as Servicer in accordance with this Agreement; provided, however, that this provision shall not protect the Servicer or any such Person against contractual liability under this Agreement for any breach of warranties or representations made herein, or any failure to perform any express contractual duties set forth herein, or any liability which would otherwise be imposed by reason of willful misfeasance, bad faith or negligence in the performance of its duties hereunder."
CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION AGREEMENT,"The Promotion Agreement between CNET, Inc. and Cyberian Outpost, Inc. aims to enhance the promotion of Cyberian's products through various online and television channels provided by CNET. CNET is obligated to deliver specific advertising promotions, including TV spots and online banners, while ensuring a minimum number of Retail Impressions over the contract term. Cyberian must maintain its website's functionality and provide accurate reporting on sales generated from CNET's promotions.

Notable risks include potential penalties for failing to meet performance standards, which could be deemed a material breach. Each party indemnifies the other against third-party claims arising from breaches of their respective obligations. Liability is limited, excluding special or consequential damages. The agreement allows for termination with notice and includes confidentiality provisions regarding sensitive information.","(a) either party may terminate this Agreement, effective at any time after the first three months of the Term, by giving 30 days' written notice of termination to the other party, and (b) either party may terminate this Agreement at any time by giving written notice of termination to the other party, if the other party commits a material breach of its obligations hereunder that is not cured within 30 days after notice thereof from the non-breaching party.","The material terms of this agreement and any information exchanged in connection herewith shall be covered by the Non-Disclosure Agreement between CNET and the Company dated December 5, 1997 (the ""NDA""). Notwithstanding the foregoing the following information will not be considered ""Confidential Information"" for purposes of the NDA provided that such information is not publicly identified as belonging to or coming from the Company: (a) information contained in the reports described in Section 3.2, (b) the names and e-mail addresses referenced in Section 3.4 and (c) any information obtained by CNET from Users who affirmatively request to be added to an e-mail newsletter pursuant to Section 3.5.","NEITHER PARTY WILL BE LIABLE FOR ANY SPECIAL, INDIRECT, CONSEQUENTIAL OR INCIDENTAL DAMAGES ARISING OUT OF OR RELATED TO THIS AGREEMENT, HOWEVER CAUSED AND ON ANY THEORY OF LIABILITY (INCLUDING NEGLIGENCE), AND EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES."
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,"The Commercialization and License Agreement between Vyera Pharmaceuticals and CytoDyn establishes Vyera's exclusive rights to commercialize CytoDyn's drug candidate, leronlimab, for treating HIV, following regulatory approval. Vyera is obligated to use commercially reasonable efforts to market the product, while CytoDyn must provide necessary support and maintain patent rights. Notable risks include potential penalties for Vyera if it fails to meet commercialization targets or if a change of control occurs, requiring divestiture of competitive products. Liability exposure includes losses and damages incurred by either party due to their performance under the agreement. Confidentiality is emphasized, with both parties required to protect proprietary information, including the agreement's terms.","Vyera shall either: (a) within ninety (90) days after the closing of such Change of Control, enter into a binding written agreement to sell, transfer, assign or divest all of Vyera's and/or its Affiliate's rights in and to such Competitive Product to a non-Affiliate Third Party and consummate such sale, transfer, assignment or divestiture of said rights not later than ninety (90) days following the date of the binding Agreement; or (b) within six (6) months after the closing of such Change of Control, terminate any and all Development, Manufacturing, Commercialization and/or other exploitation of such Competitive Product; or (c) terminate this Agreement in accordance with Section 11.2(c).",Confidential Information shall include the terms and conditions of this Agreement.,"Liability or Liabilities means losses, damages, fees, costs and other liabilities incurred by a Party related to such Party's performance or conduct, or by virtue of being a ""Party"", under this Agreement."
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,"The Sponsorship Agreement establishes a relationship between Domini Advisor Trust and Domini Social Investments LLC, where Domini provides oversight, administrative, and management services to the Trust. Domini's key obligations include maintaining office facilities, supervising the Trust's administration, ensuring compliance with laws, and managing communications with shareholders. The Trust is responsible for its operating expenses and compensating Domini at an annual rate of 0.50% of its average daily net assets.

Notable risks include Domini's limited liability for errors, which only applies in cases of willful misconduct or gross negligence. The agreement allows for termination with 60 days' notice by either party without penalty. Domini may subcontract its obligations but remains liable for the actions of any subcontractors. The agreement is governed by Massachusetts law and includes provisions for severability and notice requirements.","This Agreement may be terminated at any time, without the payment of any penalty, with respect to any series or the Trust, by the Board of Trustees of the Trust, or by the Sponsor, in each case on not less than 60 days' written notice to the other party.",,"The Sponsor shall not be liable for any error of judgment or mistake of law or for any act or omission in the oversight, administration or management of the Trust or the performance of its duties hereunder, except for willful misfeasance, bad faith or gross negligence in the performance of its duties, or by reason of the reckless disregard of its obligations and duties hereunder."
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,"The Co-Promotion Agreement between Dova Pharmaceuticals and Valeant Pharmaceuticals aims to collaboratively promote a specific pharmaceutical product in the U.S. Dova grants Valeant co-exclusive rights to detail and market the product, while retaining overall control of manufacturing, distribution, and regulatory matters. Valeant is responsible for conducting promotional activities and maintaining a minimum number of sales representatives. 

Key risks include potential penalties for non-compliance with promotional regulations and the obligation to indemnify each other for claims arising from their respective actions. The agreement includes confidentiality provisions to protect proprietary information and limits liability for damages, ensuring that neither party is liable for indirect or consequential losses. Termination clauses allow for early termination under specific conditions, impacting ongoing obligations and rights.",12.2 Early Termination for Cause.,"1.16 ""Confidential Information"" shall mean all secret, confidential, non-public or proprietary Know-How, whether provided in written, oral, graphic, video, computer or other form, provided by or on behalf of one Party to the other Party pursuant to this Agreement, including information relating to the disclosing Party's existing or proposed research, development efforts, promotional efforts, regulatory matters, patent applications or business and any other materials that have not been made available by the disclosing Party to the general public.",11.4 Limitation of Liability.
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,"The Strategic Alliance Agreement establishes a partnership between Dialog Semiconductor (DIALOG) and Energous Corporation (ENERGOUS) to collaborate on the distribution and development of ENERGOUS's wire-free charging technology. DIALOG is responsible for marketing and selling the licensed products, while ENERGOUS will provide technical support and product updates. Both parties must adhere to confidentiality obligations regarding proprietary information.

Notable risks include potential liability for product defects, with ENERGOUS indemnifying DIALOG against claims related to product use, including bodily injury. If DIALOG discontinues sales of any product, it must notify ENERGOUS in advance, which may affect exclusivity rights. Additionally, failure to meet service levels may result in the suspension of service fee payments. The agreement emphasizes the importance of compliance with product specifications to mitigate liability exposure.","If DIALOG decides to discontinue Sales of any Product, it will notify ENERGOUS at least [***] prior to such discontinuance, and following such notification, the exclusivity rights, if any, associated with that Product will cease; provided, however, this provision will not apply in the event that DIALOG continues Sales of Product Updates, repackaged Product Dies or MCMs.","The term ""Confidential Information"" means all financial, business and technical information disclosed by or on behalf of a party in relation to this Agreement (whether tangible or intangible, and including all copies, analyses and derivatives thereof), that is marked or otherwise identified as proprietary or confidential at the time of disclosure, or which by its nature would be understood by a reasonable person to be proprietary or confidential, including all copies, abstracts, summaries, analyses and derivatives thereof.","ENERGOUS agrees to indemnify, hold harmless and, in the case of any third party claims, defend DIALOG and its Affiliates and each of their respective directors, officers, employees, contractors, agents, distributors and customers (collectively, ""DIALOG Indemnitees"") from and against and in respect of any and all alleged or actual demands, claims, actions, causes of action, suits or proceedings, assessments, awarded damages (including punitive damages), liabilities, interest and penalties, costs and expenses (including, without limitation, court costs and reasonable legal fees and disbursements in connection therewith) (each, a ""Claim"") to the extent resulting from, arising out of, relating to, or imposed upon or incurred by any DIALOG Indemnitees by reason of (a) death or bodily injury caused by or resulting from use of the Products."
Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement,"The agreement outlines the terms for the design, development, and hosting of a website for the Client, FreeCook, by the Company, Mitchell's Web Advance. The Client is obligated to pay a total of $5,000, with an initial payment of $1,900 and the remainder upon project completion. The Company must deliver the website within 12 weeks, contingent on timely receipt of materials from the Client. Any changes to the project scope require written approval and may incur additional costs. Notable risks include potential delays due to the Client's late submissions or approvals, and the Company is not liable for errors in content provided by the Client. Additionally, the Company reserves the right to alter or cease customer service without liability. Rush work incurs a surcharge of 25% on the standard hourly rate.",,,Company at its sole discretion may at any time alter or cease providing the Customer Service which it has agreed to provide to Client relating to Client Website pursuant to this Agreement without any liability to Company.
"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT","The Strategic Alliance Agreement between EDGE Communications Solutions, LLC (EDGE) and FTE Networks, Inc. (FTE) outlines the terms for FTE to provide labor, materials, and services for EDGE's projects, specifically for a communications service provider, Mediacom, LLC. FTE is obligated to perform work as specified in purchase orders, maintain insurance, and ensure compliance with laws. EDGE must pay FTE for completed work, regardless of customer payment status. Notable risks include potential penalties for non-payment to lower-tier subcontractors, which may lead EDGE to withhold payments to FTE. FTE also indemnifies EDGE against claims related to the work performed. The agreement can be terminated for defaults, with EDGE having the right to complete the work and deduct costs from payments due to FTE. The contract includes confidentiality provisions and a non-solicitation clause for EDGE employees.","After the Initial Term, this Agreement shall continue on a month to month basis until terminated by either party upon thirty (30) days prior written notice to the other setting forth the effective date of such termination.","Each Party shall safeguard such Confidential Information in the manner in which it safeguards its own confidential information, and shall not disclose Confidential Information to its employees, Lower-tier Subcontractors and agents, except to the extent necessary to enable it to fulfill its obligations under this Agreement.","Subcontractor shall indemnify, defend and hold harmless EDGE and Customer and both of their subsidiaries, directors, shareholders, partners, principals (disclosed or undisclosed), employees, agents and representatives (hereinafter the ""Indemnitees"") from and against any and all claims, demands, damages, actions, causes of action, suits, losses, judgments, obligations, and any liabilities, costs and expenses, including but not limited to, investigative and repair costs, attorney fees and costs, and consultant's fees and costs (collective, ""Claims"") arising out of or in connection with the Work performed, materials furnished, or services provided or omitted under this Agreement by Subcontractor or its agents."
GALACTICOMMTECHNOLOGIESINC_11_07_1997-EX-10.46-WEB HOSTING AGREEMENT,"The Web Hosting Agreement establishes the terms between Galacticomm and Horst Entertainment Inc., nullifying any prior agreements. Horst Entertainment is obligated to pay Galacticomm $0.01 per access for up to 400,000 accesses, and $0.005 thereafter, with payments due weekly. Galacticomm must provide 24/7 technical support for server issues, while Horst Entertainment must ensure similar support at its broadcast location. A notable risk includes the potential termination of the agreement by Galacticomm, which grants Horst the option to purchase the software license for $15,000. Disputes will be resolved in Florida courts. Failure to meet payment deadlines or service obligations may expose either party to penalties or liability.","In the event Galacticomm, Inc. chooses to terminate this agreement, Horst Entertainment Inc. will have the right to purchase a license copy of the software in the amount of $15,000.00.",,
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT,"The Consulting Agreement between Global Technologies, Ltd. and Timothy Cabrera outlines the provision of consulting services by Cabrera to the Company, focusing on business development and acquisition strategies. The Company must provide accurate information and cooperate with Cabrera, while Cabrera is responsible for delivering services and complying with applicable laws. Notably, the Company must pay Cabrera $250,000, with additional compensation tied to inventory sales, which will reduce a related debt. Risks include potential termination of the Agreement if either party faces bankruptcy, and liability exposure for both parties due to indemnification clauses for negligent acts. Confidentiality obligations are emphasized, and any breach could lead to penalties, including forfeiture of payments. Disputes are to be resolved through mediation and arbitration in Florida.","Either Party shall have the right to terminate this Agreement without notice in the event of the bankruptcy, insolvency, or assignment for the benefit of creditors of the other Party. Either Party shall have the right to terminate this Agreement with notice, and the effective date of termination shall be the date such notice is received (by mail, overnight delivery, or fax) by the terminated Party.",The Consultant and the Company acknowledge that each will have access to proprietary information regarding the business operations of the other and agree to keep all such information secret and confidential and not to use or disclose any such information to any individual or organization without the non-disclosing Parties prior written consent.,"Each Party (the ""Indemnifying Party"") agrees to indemnify, defend, and hold harmless the other Party (the ""Indemnified Party"") from and against any and all claims, damages, and liabilities, including any and all expense and costs, legal or otherwise, caused by the negligent act or omission of the Indemnifying Party, its subcontractors, agents, or employees, incurred by the Indemnified Party in the investigation and defense of any claim, demand, or action arising out of the work performed under this Agreement; including breach of the Indemnifying Party of this Agreement."
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement,"The Walabot-HOME Reseller Agreement establishes a non-exclusive relationship between Vayyar Imaging Ltd. (Supplier) and Inde Living Holdings, Inc. (Reseller) for the resale of Walabot HOME products in the USA. The Supplier is responsible for shipping products and ensuring compliance with export regulations, while the Reseller must comply with laws, use Supplier-approved materials, attend training, and ensure End Users sign the End User Agreement. Notable risks include the Reseller's liability for any non-compliance by End Users and penalties for failing to meet minimum order quantities, which may result in additional payments to the Supplier. The Supplier limits its liability for indirect damages and requires the Reseller to indemnify it against third-party claims. The agreement is effective for one year, with automatic renewals, and can be terminated by either party with notice under specified conditions.","Following the Initial Term, either Party may terminate this Agreement without cause upon written notice to the other Party of at least 3 months. Without derogating from any other remedies that any Party may have under the terms of this Agreement or at law, each Party shall have the right to terminate this Agreement forthwith upon the occurrence of any of the following: (i) the other Party is in material breach of its obligations hereunder and fails to remedy such breach within 30 days after being requested in writing to do so; or (ii) the other Party's bankruptcy, insolvency, liquidation, whether voluntarily or otherwise, or if it makes an assignment for the benefit of creditors.","Each Party agrees that it will maintain the confidentiality of all electronic, oral, and written communications from the other Party which should reasonably be regarded in the normal commercial view, as constituting confidential information, trade secrets or proprietary information (""Confidential Information"") and use such Confidential Information only as necessary to exercise a Party's rights or perform a Party's obligations under this Agreement.","TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, IN NO EVENT SHALL SUPPLIER BE LIABLE UNDER, OR OTHERWISE IN CONNECTION WITH, THIS AGREEMENT FOR: (A) ANY CONSEQUENTIAL, INDIRECT, SPECIAL, INCIDENTAL, OR PUNITIVE DAMAGES; (B) ANY LOSS OF PROFITS, LOSS OF BUSINESS, LOSS OF REVENUE, OR LOSS OF ANTICIPATED SAVINGS; (C) ANY LOSS OF, OR DAMAGE TO, DATA, REPUTATION, OR GOODWILL; AND/OR (D) THE COST OF PROCURING ANY SUBSTITUTE GOODS OR SERVICES."
"HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT","The Intellectual Property Agreement establishes the terms for the use and ownership of trademarks and related rights between The Hertz Corporation (THC), Hertz System, Inc. (HSI), and Herc Rentals Inc. (HERC) following their planned separation into independent companies. HSI retains ownership of the Vehicle Rental Business (VRB) trademarks, while HERC is granted licenses to use certain trademarks and domains related to the Equipment Rental Business (ERB) for a four-year interim period. HERC must cease use of these trademarks and domains after this period. Notable risks include potential liability for trademark infringement claims, with HSI indemnifying HERC for such claims during the interim. HERC is also required to maintain insurance coverage and may face penalties for non-compliance, including termination of the agreement. The agreement emphasizes cooperation to avoid market confusion and outlines procedures for breach and termination.","In the event of a material breach of this Agreement or any of the ancillary agreements exhibited hereto, THC or HSI may notify HERC of such material breach and terminate this Agreement upon written notice. If HERC has not cured any such breach within thirty (30) days after HERC receives such notice, this Agreement shall automatically terminate without further notice.","Unless otherwise agreed to by the Parties or except as otherwise provided in this Agreement or the Distribution Agreement, any Confidential Information (as defined in the Distribution Agreement) furnished pursuant to this Agreement shall be subject to the confidentiality provisions and restrictions on disclosure set forth in Section 6.7 of the Distribution Agreement.","HSI shall defend, indemnify and hold HERC harmless against any and all claims, suits, actions or other proceedings whatsoever brought against HERC based on third-party claims of trademark infringement in connection with HERC'S use of the HSI (HERTZ) Foreign ERB Trademarks, the HSI (HERTZ) US ERB Trademarks, the HERC (HERTZ) US ERB Trademarks and the Other Intellectual Property to the extent such claims, suits, actions or other proceedings are based upon use of the HERTZ element comprising a HSI (HERTZ) Foreign ERB Trademark, HSI (HERTZ) US ERB Trademark, HERC (HERTZ) US ERB Trademark or Other Intellectual Property during the Interim Period only and from claims of third parties against HERC or any of its affiliates stemming from HERTZ's use of the HERTZ trademarks."
ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement,"The Co-Branding Agreement between VerticalNet, Inc. and Impresse Corporation aims to create a co-branded online platform where users can access Impresse's commercial printing services through VerticalNet's online communities. Impresse is responsible for the design and maintenance of its area on the co-branded site, while VerticalNet handles its own area and the V-Solutions Link. Both parties must promote the co-branded site and refrain from advertising competing services.

Notable risks include potential penalties for non-compliance with payment obligations, which may incur interest and audit costs. Each party indemnifies the other against third-party claims arising from breaches of their respective representations and warranties. The agreement includes a two-year limitation on claims and mandates arbitration for disputes, limiting liability for indirect damages. Confidentiality obligations persist for three years post-termination, and both parties must comply with applicable laws.","Either party may terminate this Agreement immediately upon written notice to the other party in the event of any material breach of a term of this Agreement by such other party that remains uncured 30 days after written notice of such breach was received by such other party or, if the breach is not reasonably capable of cure within 30 days, such longer period, not to exceed 60 days, so long as the cure is commenced within the 30-day period and thereafter is diligently prosecuted to completion as soon as possible and in any event within 60 days.","Each party agrees to take Reasonable Steps (as defined below) (a) to receive and maintain the Confidential Information of the other party in confidence and (b) not to disclose such Confidential Information to any third parties, provided, the receiving party may disclose such Confidential Information to its employees, representatives and agents who have a need to know such information for purposes of carrying out the terms of this Agreement.","EXCEPT IN CONNECTION WITH A BREACH BY EITHER PARTY OF ARTICLE 7 OR SECTION 8.1.5 [REPRESENTATIONS AND WARRANTIES] (v) AND THE INDEMNIFICATION OBLIGATIONS OF IMPRESSE UNDER SECTION 9.4(i)(d) [INDEMNIFICATION BY IMPRESSE] AND THE INDEMNIFICATION OBLIGATIONS OF VERTICALNET UNDER SECTION 9.5(i)(d) [INDEMNIFICATION BY VERTICALNET], NEITHER PARTY WILL BE LIABLE FOR ANY SPECIAL, INDIRECT, CONSEQUENTIAL, EXEMPLARY OR INCIDENTAL DAMAGES ARISING OUT OF OR RELATED TO THIS AGREEMENT, HOWEVER CAUSED AND UNDER ANY THEORY OF LIABILITY (INCLUDING NEGLIGENCE), EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES."
IntegrityFunds_20200121_485BPOS_EX-99.E UNDR CONTR_11948727_EX-99.E UNDR CONTR_Service Agreement,"The agreement establishes Integrity Funds Distributor, LLC as the principal underwriter for the distribution of shares issued by the Integrity Short Term Government Fund. Integrity is obligated to solicit orders for shares, comply with applicable laws, and provide customer support, while the Fund must supply necessary documentation and information for share sales. Notable risks include potential liability for untrue statements in registration materials, with the Fund agreeing to indemnify Integrity against such claims, except in cases of Integrity's misconduct. The agreement can be terminated by either party with notice, and it automatically renews annually unless otherwise specified. The Fund's obligations are limited to its assets, protecting individual trustees and officers from personal liability.","This Agreement is terminable with respect to the Fund, without penalty, (a) on 60 days' written notice, by vote of a majority of the Qualified Trustees or by vote of a majority (as defined in the 1940 Act) of the outstanding voting securities of the Fund or (b) on 90 days' written notice by Integrity.",,"The Fund agrees to indemnify, defend, and hold Integrity, its several officers and governors, and any person who controls Integrity within the meaning of Section 15 of the 1933 Act, free and harmless from and against any and all claims, demands, liabilities, and expenses (including the cost of investigating or defending such claims, demands, or liabilities and any counsel fees incurred in connection therewith) which Integrity, its officers and governors, or any such controlling person may incur under the 1933 Act, the 1940 Act, or common law or otherwise, arising out of or based upon any untrue statement or alleged untrue statement of a material fact contained in any registration statement, any prospectus, or any statement of additional information, or arising out of or based upon any omission or alleged omission to state a material fact required to be stated in any registration statement, any prospectus, or any statement of additional information, or necessary to make the statements in any of them not misleading; provided, however, that the Fund's agreement to indemnify Integrity, its officers or governors, and any such controlling person shall not be deemed to cover any claims, demands, liabilities, or expenses arising out of or based upon any statements or representations made by Integrity or its representatives or agents other than such statements and representations as are contained in any registration statement, prospectus, or statement of additional information and in such financial and other statements as are furnished to Integrity pursuant to paragraph 2.2 hereof; and further provided that the Fund's agreement to indemnify Integrity and the Fund's representations and warranties hereinbefore set forth in paragraph 3 shall not be deemed to cover any liability to the Fund or its shareholders to which Integrity would otherwise be subject by reason of willful misfeasance, bad faith, or gross negligence in the performance of its duties, or by reason of Integrity's reckless disregard of its obligations and duties under this Agreement."
INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement,"The Strategic Alliance Agreement between IntriCon Corporation and Dynamic Hearing Pty Ltd aims to leverage their complementary technologies for developing digital signal processing (DSP) products in the hearing health and professional audio markets. IntriCon is obligated to pay an annual technology access fee and minimum payments to maintain exclusive rights to Dynamic Hearing's technology for hearing aids. Dynamic Hearing retains ownership of its technology and can license it to identified third parties. Notable risks include potential liability for infringement claims and penalties for non-compliance with payment obligations. If IntriCon fails to meet minimum payment requirements, it risks losing exclusivity. The agreement also includes confidentiality provisions and indemnification clauses, holding each party responsible for claims arising from their respective actions. The initial term is five years, with conditions for renewal and termination.","11.1 Notwithstanding any provision to the contrary in this Agreement, this Agreement may not be terminated by either party prior to two years from the commencement date other than for the failure to pay the first and second yearly minimum payments as defined in section 4.3.",7.1 Each party must: 7.2 This Agreement is confidential and each party must not disclose any part of this Agreement to any person without the prior written consent of the other party.,"10.3 To the maximum extent permitted by law and notwithstanding anything to the contrary in this Agreement: (d) Dynamic Hearing's aggregate liability to IntriCon for direct loss and damages and all other liability not described herein arising in connection with this Agreement whether in negligence, tort, equity, contract or otherwise, is limited to payment of damages recoverable at law or equity up to a maximum of (and, for the sake of clarity must not exceed) $5m;"
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT","The Consulting Agreement between Kiromic, Inc. and Gianluca Rotino outlines the terms under which Rotino will provide consulting services, including business analysis, leadership in business development, and management of marketing campaigns. Kiromic is obligated to compensate Rotino at a rate of $400 per hour, with a monthly cap of 19 hours unless pre-approved. 

Key obligations include maintaining confidentiality of proprietary information and assigning any inventions or intellectual property developed during the engagement to Kiromic. Notable risks include potential liability for unauthorized disclosure of confidential information, with Rotino agreeing to indemnify Kiromic against related claims. The agreement allows for termination by either party with prior written notice, and it includes an arbitration clause for dispute resolution.",Either Consultant or Company may terminate this Agreement upon prior written notice thereof to the other party.,"Consultant shall not, during or subsequent to the term of this Agreement, use any Confidential Information for any purpose whatsoever other than the performance of the Services on behalf of Company, or disclose Confidential Information to any third party.","Consultant agrees to indemnify Company and hold it harmless from and against all claims, liabilities, damages and expenses, including reasonable attorneys' fees and costs of suit, arising out of or in connection with any violation or claimed violation by Company of such third party's rights resulting in whole or in part from Company's use of the work product of Consultant under this Agreement."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"The Distributor Agreement establishes Electric City of Illinois LLC as the exclusive distributor of Electric City Corp.'s energy efficiency devices within Illinois for a term of ten years, with potential annual renewals. The Company is obligated to supply products and promote them, while the Distributor must actively market and meet minimum purchase requirements, including an initial letter of credit of $500,000. Notable risks include the potential loss of exclusive rights if minimum sales expectations are not met, although the Distributor is protected from penalties due to uncontrollable events. Both parties indemnify each other against claims arising from breaches or negligence. The Company must maintain product liability insurance, and the Distributor is restricted from soliciting the Company's employees or customers for a specified period post-termination. The agreement includes provisions for termination, product returns, and confidentiality.","Either party may terminate this Agreement upon 30 days prior written notice to the other upon the occurrence of any of the following events: (A) the Distributor's failure to make full and prompt payment to the Company of all sums due and owing to it; (b) either party's default in the performance of any of the material, terms, conditions, obligations, undertakings, covenants or liabilities set forth herein and such default is not cured within a commercially reasonable time after the defaulting party has been notified of the default by the other party and (c) as otherwise expressly provided herein.","None of the parties hereto nor their associated or affiliated or affiliated companies shall during the term of this Agreement or thereafter disclose any confidential information obtained or acquired by them in connection with the Products and the business of the other, including, without limitation, trade secrets, business techniques, technical information, customer and potential customer lists, marketing data and information, prices, improvements to the Products in various stages of development, processes, or other confidential information relating to the Products or the business of the Distributor, except that either party shall be permitted to disclose (x) all or portions of such confidential information on a strictly need-to-know basis to the extent required by an order of a court of competent jurisdiction or by the order or demand of a regulatory body having jurisdiction over one or both parties and (y) any of such confidential information that is the sole property of the party making the disclosure and does not include any information owned by the other party.","Company and Distributor agree to indemnify, defend and hold each other harmless from any and all suits, claims, obligations, liabilities, damages, losses and the like (including attorneys' fees and costs) relating to or arising out of: (A) any breach of any material representations, warranties, covenants, obligations, agreements or duties in connection with this Agreement; (b) any negligence or fault; (c) any violation by either of them of the patent, copyright, trademark or other intellectual property rights of third parties."
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,"The agreement establishes a framework for the purchase and supply of specified products between Shenzhen LOHAS Supply Chain Management Co., Ltd. (Buyer) and the Seller. The Buyer is responsible for issuing purchase orders, while the Seller must confirm orders within three working days and ensure timely delivery. Notably, the Seller is liable for damages due to improper packing and must provide insurance coverage for the goods. Risks include penalties for late delivery, capped at 5% of the total value, and potential contract cancellation if delays exceed ten weeks. Claims for non-conformity must be made within seven days of delivery, with the Seller responsible for rectifying defects. Disputes are to be resolved through arbitration in Beijing, and the contract is governed by Chinese law. The agreement is valid for five years and includes confidentiality provisions regarding pricing.","In case the accident lasts for more than 10 weeks, the Buyers shall have the right to cancel the Contract.","This final price is the confidential information. Dissemination, distribution or duplication of this price is strictly prohibited.","The Sellers shall be liable for any damage and loss of the commodity, expenses incurred on account of improper packing, and any damage attributable to inadequate or improper protective measures taken by the seller in regard to the packing."
LOYALTYPOINTINC_11_16_2004-EX-10.2-RESELLER AGREEMENT,"The agreement establishes a reseller relationship between American Express Incentive Services (AEIS) and Schoolpop, Inc. for the resale of stored value cards to nonprofit organizations. AEIS grants Schoolpop exclusive rights to sell these cards, contingent upon a minimum annual purchase of $52 million. Schoolpop must pay a marketing rights fee of $1.25 million and manage card inventory according to specified security and forecasting requirements. Notable risks include penalties for inventory shortages and customer service failures, with potential fees for non-compliance. Liability is limited to $50,000, excluding certain breaches, and both parties must maintain confidentiality regarding proprietary information. The agreement can be terminated for bankruptcy, breach, or non-payment, with specific conditions for post-termination sales.","Either party may terminate this Agreement with written notice to the other party as follows: ... (1) admit in writing its inability to pay its debts generally as they become due; ... (2) make a general assignment for the benefit of creditors; ... (3) institute proceedings to be adjudicated a voluntary bankrupt; ... (4) consent to the filing of a petition or bankruptcy against it; ... (5) be adjudicated by a court of competent jurisdiction as being bankrupt or insolvent; ... (6) seek reorganization under any bankruptcy act; ... (7) consent to the filing of a petition seeking such reorganization; ... (8) have a decree entered against it by a court of competent jurisdiction appointing a receiver, liquidator, trustee, or assignee in bankruptcy or in insolvency covering all or substantially all of such party's property or providing for the liquidation of such party's property or business affairs; ... (ii) Upon the occurrence of a breach by the other party, which breach has not been cured within (30) days after the date of written notice to the breaching party by the non-breaching party; ... (iii) For non-payment of any amounts due hereunder.","The terms, procedures, any applicable criteria for success and results of this Agreement and all information furnished by and between the parties in connection with this Agreement shall be confidential and shall not be disclosed by either party without the express written consent of the other party; ... both parties agree to receive and hold in confidence all Confidential Information considered proprietary or confidential by the other party, and agree not to disclose or use such information in any manner except for uses contemplated by this Agreement unless permitted in writing in advance by the other party.","the cumulative liability of the parties to one another for any claims, liabilities, losses, damages or expenses, direct or indirect, arising out of or related to this Agreement shall not exceed the lesser of $50,000 or ... In no event shall either party be liable to the other, under any theory, for lost profits, exemplary, punitive, special incidental, indirect, or consequential damages."
