termination_clause,liability_clause,contract_id
0.0,0.0,Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement
1.0,0.0,"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT"
0.0,,GALACTICOMMTECHNOLOGIESINC_11_07_1997-EX-10.46-WEB HOSTING AGREEMENT
0.0,0.0,GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT
0.4583333333333333,0.48,HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement
0.0,0.0,"HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT"
0.0,0.29333333333333333,ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement
0.0,0.0,IntegrityFunds_20200121_485BPOS_EX-99.E UNDR CONTR_11948727_EX-99.E UNDR CONTR_Service Agreement
0.25806451612903225,0.5098039215686275,INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement
1.0,0.0,"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT"
0.0,0.0,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT
0.0,0.0,LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement
0.0,0.6258503401360545,LOYALTYPOINTINC_11_16_2004-EX-10.2-RESELLER AGREEMENT
0.0,0.25274725274725274,"MetLife, Inc. - Remarketing Agreement"
,0.6842105263157895,MSCIINC_02_28_2008-EX-10.10-
,,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT
0.36144578313253006,0.22,NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT
0.0,0.0,"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT"
0.0,0.41860465116279066,OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT
0.7868852459016393,0.7192982456140351,"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT "
0.3023255813953488,0.25396825396825395,PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1
0.0,0.0,PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3
0.0,,PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT
0.0,0.5116279069767442,ReynoldsConsumerProductsInc_20191115_S-1_EX-10.18_11896469_EX-10.18_Supply Agreement
0.20689655172413793,0.29906542056074764,SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement
1.0,0.0,"SIBANNAC,INC_12_04_2017-EX-2.1-Strategic Alliance Agreement"
1.0,0.7368421052631579,SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement
,,ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement
0.5333333333333334,0.6363636363636364,TUNIUCORP_03_06_2014-EX-10-COOPERATION AGREEMENT
0.0,0.0,"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT"
0.0,0.3513513513513513,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT"
0.0,0.31168831168831174,ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT
0.0,0.2222222222222222,"Zounds Hearing, Inc. - MANUFACTURING DESIGN MARKETING AGREEMENT"
